item_name,2026-02-20 02:00,2026-02-20 03:00,2026-02-20 04:00,2026-02-20 05:00,2026-02-20 06:00,2026-02-20 07:00,2026-02-20 08:00,2026-02-20 10:00,2026-02-20 13:00,2026-02-20 14:00,2026-02-20 15:00,2026-02-20 16:00,2026-02-20 17:00,2026-02-20 18:00,2026-02-20 19:00,2026-02-20 20:00,2026-02-20 21:00,2026-02-20 22:00,2026-02-20 23:00,2026-02-21 00:00,2026-02-21 01:00,2026-02-21 02:00,2026-02-21 03:00,2026-02-21 04:00,2026-02-21 05:00,2026-02-21 06:00,2026-02-21 07:00,2026-02-21 08:00,2026-02-21 10:00,2026-02-21 13:00,2026-02-21 14:00,2026-02-21 15:00,2026-02-21 16:00,2026-02-21 17:00,2026-02-21 18:00,2026-02-21 19:00,2026-02-21 20:00,2026-02-21 21:00,2026-02-21 22:00,2026-02-21 23:00,2026-02-22 00:00,2026-02-22 01:00,2026-02-22 02:00,2026-02-22 03:00,2026-02-22 04:00,2026-02-22 05:00,2026-02-22 06:00,2026-02-22 07:00,2026-02-22 08:00,2026-02-22 10:00,2026-02-22 13:00,2026-02-22 14:00,2026-02-22 15:00,2026-02-22 16:00,2026-02-22 17:00,2026-02-22 18:00,2026-02-22 19:00,2026-02-22 20:00,2026-02-22 21:00,2026-02-22 22:00,2026-02-22 23:00,2026-02-23 00:00
폭풍 가루,26077.0,22038.0,23321.0,23321.0,23142.0,21868.0,21859.0,17548.0,24113.0,27212.0,25449.0,24130.0,25431.0,24647.0,23412.0,23412.0,14038.0,22995.0,34772.0,32863.0,38739.0,28161.0,30695.0,29115.0,29115.0,29344.0,28344.0,27808.0,30529.0,19824.0,19994.0,34491.0,34491.0,29141.0,29154.0,28378.0,26063.0,20374.0,18969.0,18969.0,17139.0,20512.0,19885.0,13782.0,12339.0,12979.0,9142.0,9085.0,8485.0,8605.0,7134.0,334.0,5597.0,6019.0,6019.0,10268.0,12226.0,13906.0,5616.0,5580.0,5580.0,5635.0
견고한 암석,26294.0,26306.0,26306.0,26306.0,18549.0,13906.0,13903.0,13124.0,12957.0,13206.0,6602.0,2414.0,2379.0,2371.0,2386.0,2386.0,2069.0,2163.0,2833.0,3113.0,3108.0,3660.0,3709.0,3390.0,3390.0,3399.0,3399.0,3417.0,3638.0,3669.0,3432.0,3653.0,3653.0,3415.0,3378.0,3168.0,3005.0,3415.0,3465.0,3465.0,3541.0,3579.0,3308.0,3627.0,3630.0,3632.0,3832.0,3835.0,3940.0,4047.0,2827.0,2454.0,1862.0,1885.0,1885.0,2162.0,3219.0,4979.0,4537.0,3402.0,3402.0,3411.0
황천매듭 옷감,,,,,25390.0,23166.0,23065.0,23025.0,5475.0,7270.0,7205.0,7744.0,9379.0,10052.0,11379.0,11379.0,8731.0,9217.0,8489.0,9493.0,10394.0,10516.0,10615.0,11161.0,11161.0,11161.0,11281.0,11398.0,11980.0,19339.0,19477.0,20484.0,20484.0,22413.0,23015.0,20464.0,10678.0,11125.0,11322.0,11322.0,13601.0,14435.0,15023.0,15896.0,16011.0,14665.0,12058.0,12058.0,12058.0,13761.0,12379.0,13750.0,14972.0,16274.0,16274.0,17478.0,17407.0,17438.0,3161.0,4471.0,4471.0,8122.0
드레나이 가루,,,,,25235.0,25242.0,4175.0,4037.0,4636.0,4636.0,5154.0,5164.0,5636.0,5907.0,6279.0,6279.0,6678.0,4341.0,5443.0,4229.0,4181.0,4177.0,3656.0,3656.0,3656.0,3698.0,3698.0,3697.0,3607.0,5059.0,5698.0,5696.0,5696.0,6801.0,6689.0,6483.0,6125.0,6193.0,5370.0,5370.0,5342.0,5369.0,6227.0,5283.0,5283.0,5285.0,5285.0,5285.0,5285.0,5694.0,5844.0,4794.0,4474.0,4464.0,4464.0,6417.0,6369.0,5976.0,6850.0,6991.0,6991.0,7152.0
여명매듭,,,,,,50948.0,50948.0,50962.0,51061.0,51111.0,50917.0,50934.0,51009.0,51012.0,51023.0,51023.0,50559.0,50599.0,51728.0,51737.0,1560.0,1564.0,1465.0,1465.0,1465.0,1465.0,1465.0,1481.0,43.0,62.0,143.0,94.0,94.0,93.0,20587.0,20612.0,20617.0,23393.0,23398.0,23398.0,23401.0,23414.0,24570.0,24585.0,24696.0,24927.0,24696.0,24696.0,24695.0,21941.0,22145.0,22181.0,22178.0,22127.0,22127.0,22093.0,22100.0,22123.0,22155.0,22165.0,22165.0,22142.0
황혼매듭,,,,,,34896.0,34896.0,34906.0,35105.0,30004.0,30006.0,30006.0,30108.0,30204.0,30207.0,30207.0,30233.0,30255.0,34912.0,34916.0,30288.0,30253.0,30253.0,30255.0,30255.0,30255.0,468.0,468.0,1023.0,1034.0,44.0,47.0,47.0,56.0,16289.0,16295.0,16299.0,18918.0,18934.0,18934.0,18937.0,18941.0,20036.0,20044.0,20088.0,20088.0,20088.0,20088.0,20088.0,17536.0,17663.0,17668.0,17721.0,17714.0,17714.0,17695.0,17711.0,17756.0,17709.0,17726.0,17726.0,17737.0
심연의 수정,,,,,,,24361.0,23919.0,23919.0,24708.0,24708.0,24708.0,24712.0,59373.0,59231.0,59231.0,59272.0,43272.0,43215.0,43215.0,43233.0,42690.0,42690.0,42690.0,42690.0,42690.0,42690.0,42639.0,44185.0,44189.0,36738.0,36752.0,36752.0,37753.0,37753.0,37759.0,37758.0,37712.0,37726.0,37726.0,37727.0,37727.0,37728.0,37724.0,37723.0,61978.0,62029.0,62029.0,62029.0,62029.0,62031.0,62046.0,61532.0,61531.0,61531.0,52967.0,52970.0,52962.0,52968.0,53027.0,53027.0,53027.0
지맥석 광석,,,,,,,22971.0,22961.0,18695.0,19609.0,19016.0,18996.0,18757.0,19253.0,19255.0,19255.0,20394.0,20455.0,22455.0,25142.0,25146.0,25183.0,25212.0,25278.0,25278.0,25277.0,25277.0,25277.0,24903.0,20334.0,20421.0,20777.0,20777.0,20998.0,22019.0,22219.0,22114.0,20825.0,12695.0,12695.0,12669.0,12638.0,13060.0,12069.0,12012.0,12012.0,11684.0,11609.0,11748.0,19699.0,16844.0,12007.0,12139.0,12115.0,12115.0,12215.0,12070.0,12268.0,10676.0,11092.0,11092.0,13023.0
아퀴라이트,,,,,,,22376.0,22367.0,21480.0,20918.0,20757.0,22211.0,24651.0,24789.0,24798.0,24798.0,26080.0,17334.0,17708.0,18292.0,16632.0,14624.0,14683.0,14657.0,14657.0,13709.0,14162.0,14484.0,11112.0,10110.0,12983.0,12830.0,12830.0,10114.0,9224.0,10099.0,9208.0,1726.0,4825.0,4825.0,5152.0,6358.0,7158.0,7023.0,6840.0,7159.0,7175.0,7333.0,7347.0,663.0,2721.0,7148.0,7632.0,8521.0,8521.0,9645.0,9963.0,10692.0,9687.0,8999.0,8999.0,9121.0
아라소르의 창,,,,,,,,25005.0,24421.0,26074.0,25967.0,25989.0,26127.0,26291.0,26363.0,26363.0,31942.0,30101.0,25458.0,21122.0,20201.0,20269.0,20102.0,19826.0,19826.0,19774.0,21012.0,21036.0,20939.0,20178.0,12631.0,12459.0,12459.0,15813.0,14612.0,14097.0,14229.0,19150.0,19200.0,19200.0,19545.0,5384.0,5777.0,5416.0,6501.0,6625.0,6619.0,2116.0,2240.0,2836.0,3678.0,9378.0,9627.0,9624.0,9624.0,7483.0,7540.0,5253.0,4303.0,4595.0,4595.0,9362.0
